dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
not,deberta-hate-tuned,0,both_aligned,852,0.6816,0.994534172,0.5,0.9609741772187793,0.5,0.494534172,0.46097417721877937,-0.494534172
not,deberta-hate-tuned,0,aligned_output_misaligned_latent,0,0.0,,,,,,,
not,deberta-hate-tuned,0,misaligned_output_aligned_latent,398,0.3184,0.0102608195,0.5,0.05359875378467337,0.5,0.4897391805,0.4464012462153266,0.4897391805
not,deberta-hate-tuned,0,both_misaligned,0,0.0,,,,,,,
not,deberta-hate-tuned,1,both_aligned,479,0.3832,0.9952811473,0.5365436,0.9693867823160751,0.5450818464091858,0.45169568000000004,0.4250045145290188,-0.45169568000000004
not,deberta-hate-tuned,1,aligned_output_misaligned_latent,373,0.2984,0.993101999,0.46542589999999995,0.9501708586085791,0.45752554083109925,0.5160468255999999,0.4926453177774799,-0.5160468255999999
not,deberta-hate-tuned,1,misaligned_output_aligned_latent,158,0.1264,0.013302793,0.534641725,0.05398653673544304,0.5460174012658228,0.5146748162,0.49203086453037975,0.5146748162
not,deberta-hate-tuned,1,both_misaligned,240,0.192,0.0090396375,0.4622755,0.05334346334208333,0.456907165875,0.43836210625,0.40360825144958334,0.43836210625
not,deberta-hate-tuned,2,both_aligned,432,0.3456,0.994307065,0.5566596799999999,0.9603324423847222,0.5663905196064815,0.41449425219999997,0.39420824027824075,-0.41449425219999997
not,deberta-hate-tuned,2,aligned_output_misaligned_latent,420,0.336,0.99505161795,0.44891810499999996,0.9616342473338095,0.4446006175952381,0.531000931,0.5170336297385714,-0.531000931
not,deberta-hate-tuned,2,misaligned_output_aligned_latent,223,0.1784,0.007947651,0.541811,0.04764491777713004,0.5449595909417041,0.5228144929999999,0.497314673164574,0.5228144929999999
not,deberta-hate-tuned,2,both_misaligned,175,0.14,0.014849552,0.42391914,0.06118564195428572,0.4218923778285715,0.38987160200000004,0.3621803303885714,0.38987160200000004
not,deberta-hate-tuned,3,both_aligned,427,0.3416,0.994537206,0.565711,0.9626023398911008,0.573515730679157,0.4130480515999999,0.389422676471897,-0.4130480515999999
not,deberta-hate-tuned,3,aligned_output_misaligned_latent,425,0.34,0.9945310056,0.43689644000000005,0.9593383526044705,0.4313622121529412,0.5438615518000001,0.5279761404515294,-0.5438615518000001
not,deberta-hate-tuned,3,misaligned_output_aligned_latent,223,0.1784,0.0077363355,0.5543952,0.04620113406995515,0.5558670432286996,0.53157915,0.5096659091587444,0.53157915
not,deberta-hate-tuned,3,both_misaligned,175,0.14,0.018422635,0.43702757,0.06302543490685714,0.4144171060571429,0.39042886,0.35542168349314285,0.39042886
not,deberta-hate-tuned,4,both_aligned,412,0.3296,0.99382987975,0.68016907,0.9610478542135923,0.6821408291650486,0.2812878174999999,0.28359157635922333,-0.2812878174999999
not,deberta-hate-tuned,4,aligned_output_misaligned_latent,440,0.352,0.99520516015,0.32531066999999997,0.96090518876,0.33118713437954544,0.6450746089,0.6297180543804545,-0.6450746089
not,deberta-hate-tuned,4,misaligned_output_aligned_latent,207,0.1656,0.0077363355,0.673882,0.04407884657246377,0.6666169679710146,0.641254716,0.6225381213985508,0.641254716
not,deberta-hate-tuned,4,both_misaligned,191,0.1528,0.014821836,0.3090291,0.06391614013507854,0.3108644867015707,0.26295462000000003,0.26300542405340316,0.2596645684
not,deberta-hate-tuned,5,both_aligned,446,0.3568,0.9951709018,0.6604471249999999,0.9645186273035875,0.6389213724887892,0.32165945455000006,0.3326955398372198,-0.32102518384999995
not,deberta-hate-tuned,5,aligned_output_misaligned_latent,406,0.3248,0.9935863358,0.39093682,0.957080520229064,0.37642602458128077,0.5842673101,0.5806544956477833,-0.5842673101
not,deberta-hate-tuned,5,misaligned_output_aligned_latent,194,0.1552,0.01520208,0.6208016199999999,0.06131961864072165,0.6329265409278351,0.591711319,0.5716069222871134,0.591711319
not,deberta-hate-tuned,5,both_misaligned,204,0.1632,0.00779310015,0.387820425,0.04625636269607843,0.38431666406862747,0.35523303655000005,0.33959470078431375,0.35523303655000005
not,deberta-hate-tuned,6,both_aligned,399,0.3192,0.993360145,0.67053455,0.9550092819566416,0.6648886119649123,0.287768841,0.2975535375105263,-0.287768841
not,deberta-hate-tuned,6,aligned_output_misaligned_latent,453,0.3624,0.995374718,0.3194399,0.9662280253635761,0.3269859751214128,0.6468659727,0.6392420502421633,-0.6468659727
not,deberta-hate-tuned,6,misaligned_output_aligned_latent,242,0.1936,0.00796008775,0.666773885,0.051352897537190086,0.6640893278099174,0.6180259585,0.6127364302727273,0.6180259585
not,deberta-hate-tuned,6,both_misaligned,156,0.1248,0.014956565,0.29655996,0.05708271027115385,0.3150986735897436,0.2575328905,0.27256442895961536,0.2575328905
not,deberta-hate-tuned,7,both_aligned,409,0.3272,0.9939229963,0.6385463,0.9520294110755501,0.6515313070977996,0.32208859999999995,0.3054609420217604,-0.32208859999999995
not,deberta-hate-tuned,7,aligned_output_misaligned_latent,443,0.3544,0.9951156746,0.34675574,0.9692324376083522,0.3475235096681716,0.6379934637,0.6217089279401805,-0.6379934637
not,deberta-hate-tuned,7,misaligned_output_aligned_latent,249,0.1992,0.0079725245,0.6407426,0.05097815069076305,0.6390197352208835,0.60916085,0.5880415845301206,0.60916085
not,deberta-hate-tuned,7,both_misaligned,149,0.1192,0.01755831,0.3699845,0.057978150901342285,0.35581306275167784,0.33291460500000003,0.30525533252147646,0.33291460500000003
not,deberta-hate-tuned,8,both_aligned,409,0.3272,0.993812293,0.5987748,0.9560868616860636,0.6305255309266503,0.3455666125,0.3267783778498778,-0.3455666125
not,deberta-hate-tuned,8,aligned_output_misaligned_latent,443,0.3544,0.995218172,0.4178889,0.9654863940424379,0.40342291606997743,0.571440403,0.5620634779724605,-0.571440403
not,deberta-hate-tuned,8,misaligned_output_aligned_latent,226,0.1808,0.0077784659999999995,0.575782,0.05180124466637168,0.5699909150442477,0.5534297558,0.5181896703778761,0.5534297558
not,deberta-hate-tuned,8,both_misaligned,172,0.1376,0.0138202895,0.344055685,0.05596059716104651,0.3469405196511628,0.3038763913,0.2990363807459302,0.3038763913
not,deberta-hate-tuned,9,both_aligned,425,0.34,0.9945836756,0.65026408,0.9636471936872942,0.6639317196847059,0.3220919419999999,0.30514040106141177,-0.3220919419999999
not,deberta-hate-tuned,9,aligned_output_misaligned_latent,427,0.3416,0.9944493067,0.34000146,0.9583136807337236,0.3279893226018735,0.6407668134,0.6303243581318502,-0.6407668134
not,deberta-hate-tuned,9,misaligned_output_aligned_latent,223,0.1784,0.008483823,0.6549331,0.050629415811659195,0.6678821167264574,0.6228710137000001,0.6172527009147982,0.6228710137000001
not,deberta-hate-tuned,9,both_misaligned,175,0.14,0.013650317,0.3911246,0.057382538744571436,0.36826135345714284,0.3609945675,0.3140324148268571,0.3609945675
not,deberta-hate-tuned,10,both_aligned,433,0.3464,0.994841757,0.6223643400000001,0.960571970578522,0.6149593578752888,0.3578489735999999,0.34743043676789837,-0.3578489735999999
not,deberta-hate-tuned,10,aligned_output_misaligned_latent,419,0.3352,0.994119132,0.414907,0.9613898227443913,0.4061391384486873,0.5687566973,0.555250684295704,-0.5687566973
not,deberta-hate-tuned,10,misaligned_output_aligned_latent,260,0.208,0.008832542,0.5632649249999999,0.049098624252307696,0.5797603675769231,0.5369791955,0.5306617433246154,0.5369791955
not,deberta-hate-tuned,10,both_misaligned,138,0.1104,0.014942707,0.431042875,0.062077258700724634,0.4127337616666667,0.3788523165,0.35207891745869563,0.3788523165
not,deberta-hate-tuned,11,both_aligned,393,0.3144,0.9931593044,0.56960273,0.9493051202816795,0.6013550403689567,0.3948377900000001,0.3485513954852418,-0.3948377900000001
not,deberta-hate-tuned,11,aligned_output_misaligned_latent,459,0.3672,0.995254016,0.43992352,0.9709653305440087,0.4308052481176471,0.550371153,0.5401600824263617,-0.550371153
not,deberta-hate-tuned,11,misaligned_output_aligned_latent,256,0.2048,0.00817365075,0.557993725,0.051644897492578126,0.5571855796875,0.535381083,0.5055406821949219,0.535381083
not,deberta-hate-tuned,11,both_misaligned,142,0.1136,0.0158353635,0.44514257,0.05712119893098592,0.40550475493661975,0.406896835,0.3509210681183098,0.406896835
not,deberta-hate-tuned,12,both_aligned,486,0.3888,0.9947734859999999,0.5961886,0.9564389191053498,0.6031520446296297,0.37105454305,0.3539114929530864,-0.37105454305
not,deberta-hate-tuned,12,aligned_output_misaligned_latent,366,0.2928,0.99422965615,0.41782088,0.9669964052054645,0.4216261456284153,0.56804058865,0.5453702595770492,-0.56804058865
not,deberta-hate-tuned,12,misaligned_output_aligned_latent,254,0.2032,0.0109330485,0.5638401500000001,0.0557201187480315,0.5621547625590552,0.5341064549999999,0.5064346438110235,0.5341064549999999
not,deberta-hate-tuned,12,both_misaligned,144,0.1152,0.0092713,0.44490361,0.049856901696527775,0.43554042027777773,0.411576094,0.38695690288680556,0.411576094
not,deberta-hate-tuned,13,both_aligned,527,0.4216,0.9944744264000001,0.561518,0.9556477019134725,0.5652785114041745,0.40777956000000004,0.39047369764402273,-0.40777956000000004
not,deberta-hate-tuned,13,aligned_output_misaligned_latent,325,0.26,0.994647131,0.4674442,0.9696112617907693,0.46572574292307695,0.5235612347999999,0.5038855188676924,-0.5235612347999999
not,deberta-hate-tuned,13,misaligned_output_aligned_latent,288,0.2304,0.01037183725,0.53197708,0.053234481571875,0.5328898705902777,0.5120978449,0.47965538901840277,0.5120978449
not,deberta-hate-tuned,13,both_misaligned,110,0.088,0.01012096425,0.48054949999999996,0.054552484669090906,0.4721651879090909,0.455358673,0.4177426421490909,0.455358673
not,deberta-hate-tuned,14,both_aligned,451,0.3608,0.9951134305,0.65797845,0.9602628508596452,0.6602819668292682,0.3104609300000001,0.30551280536075387,-0.3104609300000001
